Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PRA,PR,PA,RA,SB
110,18,5/25/2023,playoff,BOS,,MIA,W (+13),1,36:52:00,9,18,0.5,3,5,0.6,0,0,,2,0,2,2,3,0,1,1,21,16.4,16,25,23,23,4,3
111,19,5/27/2023,playoff,BOS,@,MIA,W (+1),1,38:58:00,9,16,0.563,0,4,0,8,10,0.8,5,5,10,3,2,0,4,4,26,21.1,7,39,36,29,13,2
112,20,5/29/2023,playoff,BOS,,MIA,L (-19),1,43:05:00,8,23,0.348,1,9,0.111,2,2,1,0,8,8,5,1,2,8,5,19,4.4,-17,32,27,24,13,3
113,1,4/21/2024,playoff,BOS,,MIA,W (+20),1,34:14:00,6,12,0.5,3,5,0.6,2,4,0.5,2,6,8,3,0,1,1,1,17,14.8,17,28,25,20,11,1
114,2,4/24/2024,playoff,BOS,,MIA,L (-10),1,37:20:00,13,23,0.565,4,9,0.444,3,6,0.5,3,5,8,1,1,1,3,1,33,23.5,-22,42,41,34,9,2
115,3,4/27/2024,playoff,BOS,@,MIA,W (+20),1,32:44:00,11,20,0.55,0,4,0,0,1,0,2,6,8,3,2,1,1,2,22,18.2,6,33,30,25,11,3
116,4,4/29/2024,playoff,BOS,@,MIA,W (+14),1,38:58:00,7,18,0.389,1,3,0.333,2,4,0.5,2,3,5,2,2,0,6,3,17,4.9,17,24,22,19,7,2
117,5,5/1/2024,playoff,BOS,,MIA,W (+34),1,26:26:00,11,19,0.579,1,7,0.143,2,5,0.4,0,6,6,2,0,0,5,2,25,12.3,14,33,31,27,8,0
118,6,5/7/2024,playoff,BOS,,CLE,W (+25),1,33:53:00,12,18,0.667,4,6,0.667,4,4,1,1,5,6,2,0,1,1,2,32,26.7,9,40,38,34,8,1
119,7,5/9/2024,playoff,BOS,,CLE,L (-24),1,31:17:00,7,17,0.412,0,6,0,5,5,1,0,4,4,1,0,0,1,2,19,10,-29,24,23,20,5,0
120,8,5/11/2024,playoff,BOS,@,CLE,W (+13),1,40:39:00,13,17,0.765,2,3,0.667,0,2,0,2,7,9,3,1,0,2,4,28,23.5,18,40,37,31,12,1
121,9,5/13/2024,playoff,BOS,@,CLE,W (+7),1,34:25:00,9,15,0.6,2,3,0.667,7,9,0.778,1,7,8,1,0,0,5,4,27,16.2,3,36,35,28,9,0
122,10,5/15/2024,playoff,BOS,,CLE,W (+15),1,40:44:00,4,9,0.444,1,3,0.333,2,4,0.5,0,4,4,7,1,1,3,3,11,9.1,14,22,15,18,11,2
123,11,5/21/2024,playoff,BOS,,IND,W (+5),1,44:25:00,10,20,0.5,1,4,0.25,5,8,0.625,1,6,7,5,3,1,3,1,26,21.1,4,38,33,31,12,4
124,12,5/23/2024,playoff,BOS,,IND,W (+16),1,36:39:00,14,27,0.519,4,10,0.4,8,11,0.727,2,3,5,2,1,0,2,4,40,26.6,18,47,45,42,7,1
